adcode,level,name,en_name,country_adcode,country_name,country_en_name
659000000,1,圣基茨和尼维斯,ST. Kitts And Nevis,659000000,圣基茨和尼维斯,ST. Kitts And Nevis
659010000,2,圣基茨,SAINT KITTS,659000000,圣基茨和尼维斯,ST. Kitts And Nevis
659020000,2,尼维斯,NEVIS,659000000,圣基茨和尼维斯,ST. Kitts And Nevis
499000000,1,黑山,Montenegro,499000000,黑山,Montenegro
499200000,2,科拉欣,KOLASIN,499000000,黑山,Montenegro
499210000,2,普卢日内,PLUZINE,499000000,黑山,Montenegro
499100000,2,贝拉内,BERANE,499000000,黑山,Montenegro
499020000,2,达尼洛夫格勒,DANILOVGRAD,499000000,黑山,Montenegro
499130000,2,安德里耶维察,ANDRIJEVICA,499000000,黑山,Montenegro
499140000,2,蒂瓦特,TIVAT,499000000,黑山,Montenegro
499030000,2,沙夫尼克,SAVNIK,499000000,黑山,Montenegro
499220000,2,古西涅,GUSINJE,499000000,黑山,Montenegro
499110000,2,佩特尼察,PETNJICA,499000000,黑山,Montenegro
499230000,2,普列夫利亚,PLJEVLJA,499000000,黑山,Montenegro
499010000,2,采蒂涅,CETINJE,499000000,黑山,Montenegro
499120000,2,扎布利亚克,ZABLJAK,499000000,黑山,Montenegro
499060000,2,科托尔,KOTOR,499000000,黑山,Montenegro
499170000,2,布德瓦,BUDVA,499000000,黑山,Montenegro
499180000,2,新海尔采格,HERCEG NOVI,499000000,黑山,Montenegro
499070000,2,罗扎伊,ROZAJE,499000000,黑山,Montenegro
499040000,2,巴尔,BAR,499000000,黑山,Montenegro
499150000,2,比耶洛波列,BIJELO POLJE,499000000,黑山,Montenegro
499050000,2,尼克希奇,NIKSIC,499000000,黑山,Montenegro
499160000,2,莫伊科瓦茨,MOJKOVAC,499000000,黑山,Montenegro
499190000,2,普拉夫,PLAV,499000000,黑山,Montenegro
499080000,2,乌尔齐尼,ULCINJ,499000000,黑山,Montenegro
499090000,2,波德戈里察,PODGORICA,499000000,黑山,Montenegro
638000000,1,留尼汪(法),Reunion(FR.),638000000,留尼汪(法),Reunion(FR.)
638010000,2,留尼汪,Réunion,638000000,留尼汪(法),Reunion(FR.)
064000000,1,不丹,Bhutan,064000000,不丹,Bhutan
064200000,2,蒙加尔宗,Mongar District,064000000,不丹,Bhutan
64210000,2,佩马加策尔宗,Pemagatshel District,064000000,不丹,Bhutan
064100000,2,帕罗宗,Paro District,064000000,不丹,Bhutan
064110000,2,哈阿宗,Haa District,064000000,不丹,Bhutan
064120000,2,萨姆奇宗,Samtse District,064000000,不丹,Bhutan
064170000,2,通萨宗,Trongsa District,064000000,不丹,Bhutan
064060000,2,布姆唐宗,Bumthang District,064000000,不丹,Bhutan
064180000,2,萨尔邦宗,Sarpang District,064000000,不丹,Bhutan
064070000,2,旺杜波德朗宗,Wangdue Phodrang District,064000000,不丹,Bhutan
064190000,2,谢姆冈宗,Zhemgang District,064000000,不丹,Bhutan
064080000,2,加萨宗,Gasa District,064000000,不丹,Bhutan
064090000,2,廷布宗,Thimphu District,064000000,不丹,Bhutan
064130000,2,普那卡宗,Punakha District,064000000,不丹,Bhutan
064020000,2,萨姆德鲁琼卡尔宗,Samdrup Jongkhar District,064000000,不丹,Bhutan
064140000,2,楚卡宗,Chukha District,064000000,不丹,Bhutan
064030000,2,塔希冈宗,Trashigang District,064000000,不丹,Bhutan
064150000,2,达加纳宗,Dagana District,064000000,不丹,Bhutan
064040000,2,塔希央奇宗,Trashiyangtse District,064000000,不丹,Bhutan
064160000,2,奇朗宗,Tsirang District,064000000,不丹,Bhutan
064050000,2,伦奇宗,Lhuntse District,064000000,不丹,Bhutan
586000000,1,巴基斯坦,Pakistan,586000000,巴基斯坦,Pakistan
586060000,2,信德省,Sindh,586000000,巴基斯坦,Pakistan
586050000,2,旁遮普省,Punjab,586000000,巴基斯坦,Pakistan
586020000,2,伊斯兰堡,Islamabad,586000000,巴基斯坦,Pakistan
586040000,2,开伯尔-普什图省,Khyber Pakhtunkhwa,586000000,巴基斯坦,Pakistan
586030000,2,俾路支省,Balochistan,586000000,巴基斯坦,Pakistan
384000000,1,科特迪瓦,Cote D'ivoire,384000000,科特迪瓦,Cote D'ivoire
384100000,2,邦达马河谷,Vallée du Bandama,384000000,科特迪瓦,Cote D'ivoire
384110000,2,湖泊区,Lacs,384000000,科特迪瓦,Cote D'ivoire
384120000,2,萨瓦内,Savane,384000000,科特迪瓦,Cote D'ivoire
384010000,2,阿比让,Abidjan,384000000,科特迪瓦,Cote D'ivoire
384020000,2,泻湖区,Lagunes,384000000,科特迪瓦,Cote D'ivoire
384130000,2,亚穆苏克罗,YAMOUSSOUKRO,384000000,科特迪瓦,Cote D'ivoire
384030000,2,萨桑德拉-马拉韦,Sassandra-Marahoué,384000000,科特迪瓦,Cote D'ivoire
384140000,2,登盖莱,Denguélé,384000000,科特迪瓦,Cote D'ivoire
384040000,2,戈吉布阿,Gôh-Djiboua,384000000,科特迪瓦,Cote D'ivoire
384050000,2,沃罗巴,Woroba,384000000,科特迪瓦,Cote D'ivoire
